name,sku,category,subcategory,unit,brand,cost_price,selling_price,wholesale_price,opening_stock,min_stock,max_stock,track_stock,is_sellable,barcode,description,image_url,variation_name,variation_sku,variation_barcode
EMB SALE ITM JALL,SLM-0030,Unstitched Fabric,General Fabric,Meter,Din Couture,900,2250,,355.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
INDIAN CHKNKARI,SLM-0031,Unstitched Fabric,General Fabric,Meter,Din Couture,1400,3500,,676,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
INDIAN CHIKENKARI,SLM-0032,Unstitched Fabric,General Fabric,Meter,Din Couture,2000,5000,,48,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
IND CHIK STOLLER,SLM-0033,Unstitched Fabric,General Fabric,Meter,Din Couture,1800,4500,,14,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
IND XHKNKARI,SLM-0034,Unstitched Fabric,General Fabric,Meter,Din Couture,3500,8750,,19.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
EMB CHIFFON CUTDONE,SLM-0035,Unstitched Fabric,Chiffon,Meter,Din Couture,2200,5500,,26.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
EMB CHIFFON CUTDANA BOTI,SLM-0036,Unstitched Fabric,Chiffon,Meter,Din Couture,1100,2750,,41,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
CHINA PATI METRE,SLM-0037,Unstitched Fabric,General Fabric,Meter,Din Couture,1900,4750,,193,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
BAROSHA METRES,SLM-0038,Unstitched Fabric,General Fabric,Meter,Din Couture,1650,4125,,371,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
IND GRIP SILK CHIKNKRI,SLM-0039,Unstitched Fabric,Silk / Atlas,Meter,Din Couture,3500,8750,,20,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
STONE WORK LAMA,SLM-0040,Unstitched Fabric,General Fabric,Meter,Din Couture,1700,4250,,114.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
EMB CHIFFON LOT DUPTA,SLM-0041,Unstitched Fabric,Chiffon,Meter,Din Couture,300,750,,763.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
EMB CHIFFON LOT JALL,SLM-0042,Unstitched Fabric,Chiffon,Meter,Din Couture,600,1500,,110,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
MODAAL SILK PLAIN DUPTA,SLM-0043,Unstitched Fabric,Silk / Atlas,Meter,Din Couture,4800,12000,,69,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE PLAIN GAJI SILK DUPTA,SLM-0044,Unstitched Fabric,Pure - Silk / Atlas,Meter,Din Couture,6700,16750,,50,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
RAW SILK CHIKNKRI LIGHT DUPTA,SLM-0045,Unstitched Fabric,Silk / Atlas,Meter,Din Couture,1200,3000,,479.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
RAW SILK CHIKNRI,SLM-0046,Unstitched Fabric,Silk / Atlas,Meter,Din Couture,1500,3750,,262,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
RAW SILK CHIKNKRI,SLM-0047,Unstitched Fabric,Silk / Atlas,Meter,Din Couture,1900,4750,,205.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
RAW SILK SHERWANI,SLM-0048,Unstitched Fabric,Silk / Atlas,Meter,Din Couture,10000,25000,,10,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE KARANDI,SLM-0049,Unstitched Fabric,Pure - Karandi,Meter,Din Couture,2600,6500,,87.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
SEMI PURE KRNDI,SLM-0050,Unstitched Fabric,Semi-Pure - Karandi,Meter,Din Couture,1000,2500,,42,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
EMB COTTON JALL,SLM-0051,Unstitched Fabric,Cotton,Meter,Din Couture,1400,3500,,141.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
EMB COTTON LIGHT JALL,SLM-0052,Unstitched Fabric,Cotton,Meter,Din Couture,1200,3000,,317.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
EMB COTTON BOTI,SLM-0053,Unstitched Fabric,Cotton,Meter,Din Couture,1000,2500,,36.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE TISSUE SOFT,SLM-0054,Unstitched Fabric,Pure - Tissue,Meter,Din Couture,1100,2750,,643.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PK LAMA,SLM-0055,Unstitched Fabric,PK Viscos - General Fabric,Meter,Din Couture,800,2000,,242.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PK PLAIN COTTON NET,SLM-0056,Unstitched Fabric,PK Viscos - Cotton,Meter,Din Couture,800,2000,,271,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
LOCAL ZARI LINE,SLM-0057,Unstitched Fabric,General Fabric,Meter,Din Couture,400,1000,,144,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE PLAIN COTTON NETT,SLM-0058,Unstitched Fabric,Pure - Cotton,Meter,Din Couture,1500,3750,,199,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE KATAN LAMA,SLM-0059,Unstitched Fabric,Pure - General Fabric,Meter,Din Couture,1600,4000,,206,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
TWO TONE PURE LAMA,SLM-0060,Unstitched Fabric,Pure - General Fabric,Meter,Din Couture,6000,15000,,207.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
SHEESHA SILK PLAIN,SLM-0061,Unstitched Fabric,Silk / Atlas,Meter,Din Couture,800,2000,,388.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE LAMA,SLM-0062,Unstitched Fabric,Pure - General Fabric,Meter,Din Couture,3200,8000,,112,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE ORGNZA,SLM-0063,Unstitched Fabric,Pure - General Fabric,Meter,Din Couture,800,2000,,343,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE CHANDI TISSUE,SLM-0065,Unstitched Fabric,Pure - Tissue,Meter,Din Couture,1500,3750,,239,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
POLYSTER ORGANZA,SLM-0066,Unstitched Fabric,General Fabric,Meter,Din Couture,50,125,,125,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
HBM SHAFON EMB SUIT,SLM-0067,Formal Wear,Suit,Meter,Din Couture,4500,11250,,109,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
HBM SHAFON CUTDANA,SLM-0068,Unstitched Fabric,General Fabric,Meter,Din Couture,10500,26250,,11,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE HARD TISSUE,SLM-0069,Unstitched Fabric,Pure - Tissue,Meter,Din Couture,1000,2500,,186,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PK PALTA,SLM-0070,Unstitched Fabric,PK Viscos - General Fabric,Meter,Din Couture,300,750,,496,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PK TISSUE,SLM-0071,Unstitched Fabric,PK Viscos - Tissue,Meter,Din Couture,400,1000,,392.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
SELF TISSUE,SLM-0072,Unstitched Fabric,Tissue,Meter,Din Couture,450,1125,,619,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PK LOCAL PALTA,SLM-0073,Unstitched Fabric,PK Viscos - General Fabric,Meter,Din Couture,110,275,,626,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
LAWN SUIT,SLM-0074,Unstitched Fabric,Lawn,Meter,Din Couture,6500,16250,,107,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE LAWN JALL,SLM-0075,Unstitched Fabric,Pure - Lawn,Meter,Din Couture,1400,3500,,48.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PURE LAWN BOOTI,SLM-0076,Unstitched Fabric,Pure - Lawn,Meter,Din Couture,600,1500,,33,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PK MUKESH,SLM-0077,Formal Wear,PK Viscos - Mukesh,Meter,Din Couture,6500,16250,,30,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
PK MUKESH SARI,SLM-0078,Formal Wear,PK Viscos - Saree,Meter,Din Couture,9000,22500,,4,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 A .csv,,,,
LACE EMB,ZHD-0080,Accessories,Laces,Piece,Din Couture,1200,3000,,269,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
LACE EMB,ZHD-0081,Accessories,Laces,Piece,Din Couture,1200,3000,,826,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
LACE EMB,ZHD-0082,Accessories,Laces,Piece,Din Couture,2100,5250,,88,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
LACE EMB,ZHD-0083,Accessories,Laces,Piece,Din Couture,2000,5000,,53,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
LACE EMB,ZHD-0084,Accessories,Laces,Piece,Din Couture,1050,2625,,19,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
LACE EMB,ZHD-0085,Accessories,Laces,Piece,Din Couture,250,625,,912.5,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
LACE EMB,ZHD-0086,Accessories,Laces,Piece,Din Couture,300,750,,850,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
LAWN PLAN,ZHD-0087,Unstitched Fabric,Lawn,Piece,Din Couture,350,875,,103,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
CRINKLE INDIAN,ZHD-0088,Unstitched Fabric,General Fabric,Piece,Din Couture,430,1075,,2584.9,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
PK MEDIUM,ZHD-0089,Unstitched Fabric,PK Viscos - General Fabric,Piece,Din Couture,325,812.5,,70,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
GREEN BAMABER,ZHD-0090,Unstitched Fabric,General Fabric,Piece,Din Couture,400,1000,,121.5,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
RAD SILK,ZHD-0091,Unstitched Fabric,Silk / Atlas,Piece,Din Couture,350,875,,31,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
LINING CHINA,ZHD-0092,Unstitched Fabric,General Fabric,Piece,Din Couture,340,850,,1173.9,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
SHAMOS CHINA,ZHD-0093,Unstitched Fabric,General Fabric,Piece,Din Couture,400,1000,,666.6,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
CRINKLE 25G,ZHD-0094,Unstitched Fabric,General Fabric,Piece,Din Couture,1000,2500,,71,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
NET,ZHD-0095,Unstitched Fabric,General Fabric,Piece,Din Couture,100,250,,410,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
LAWN CHIKENKARI CHINA,ZHD-0096,Unstitched Fabric,Lawn,Piece,Din Couture,350,875,,56,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
RAW SILK CHINA,ZHD-0097,Unstitched Fabric,Silk / Atlas,Piece,Din Couture,260,650,,112,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
KOERN RAW SILK,ZHD-0098,Unstitched Fabric,Silk / Atlas,Piece,Din Couture,400,1000,,429,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
RAD IMPORT,ZHD-0099,Unstitched Fabric,General Fabric,Piece,Din Couture,340,850,,478.6,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
RAW 60G,ZHD-0100,Unstitched Fabric,General Fabric,Piece,Din Couture,1950,4875,,11.25,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
RAD SILK,ZHD-0101,Unstitched Fabric,Silk / Atlas,Piece,Din Couture,340,850,,395,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
RAW SILK 80G,ZHD-0102,Unstitched Fabric,Silk / Atlas,Piece,Din Couture,2600,6500,,184.7,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
SHAMOS SILK 75G,ZHD-0103,Unstitched Fabric,Silk / Atlas,Piece,Din Couture,2600,6500,,44.7,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
SHAMOS SILK 55G,ZHD-0104,Unstitched Fabric,Silk / Atlas,Piece,Din Couture,2200,5500,,84.5,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MEDIUM SILK 35G,ZHD-0105,Unstitched Fabric,Silk / Atlas,Piece,Din Couture,1250,3125,,75,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
GRAIB SILK 80G,ZHD-0106,Unstitched Fabric,Silk / Atlas,Piece,Din Couture,2500,6250,,20.5,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
CRINKLE 25G,ZHD-0107,Unstitched Fabric,General Fabric,Piece,Din Couture,1000,2500,,44,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MALI JARJET,ZHD-0108,Unstitched Fabric,General Fabric,Piece,Din Couture,2200,5500,,35,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
TISSUE SILK,ZHD-0109,Unstitched Fabric,Tissue,Piece,Din Couture,700,1750,,63,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
KOERN RAW SILK,ZHD-0110,Unstitched Fabric,Silk / Atlas,Piece,Din Couture,400,1000,,11,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
SMOKY SHAFON,ZHD-0111,Unstitched Fabric,General Fabric,Piece,Din Couture,430,1075,,77,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
SHAMOS PALTA COLOR,ZHD-0112,Unstitched Fabric,General Fabric,Piece,Din Couture,100,250,,113,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
ZABTAN BOX VELVET,ZHD-0113,Unstitched Fabric,General Fabric,Piece,Din Couture,8950,22375,,14,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MARJAN BOX,ZHD-0114,Unstitched Fabric,General Fabric,Piece,Din Couture,8000,20000,,6,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
AMNA ARTS,ZHD-0115,Unstitched Fabric,General Fabric,Piece,Din Couture,7000,17500,,8,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
TAWAKAL BOX,ZHD-0116,Unstitched Fabric,General Fabric,Piece,Din Couture,10000,25000,,12,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MARINE BOX,ZHD-0117,Unstitched Fabric,General Fabric,Piece,Din Couture,10500,26250,,3,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
AMNA ARTS OLD VELVET,ZHD-0118,Unstitched Fabric,General Fabric,Piece,Din Couture,6000,15000,,16,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
AMNA ARTS NEW VELVET,ZHD-0119,Unstitched Fabric,General Fabric,Piece,Din Couture,7500,18750,,29,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
HEAVY VELVET,ZHD-0120,Unstitched Fabric,General Fabric,Piece,Din Couture,12000,30000,,3,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
AMNA NET VELVET,ZHD-0121,Unstitched Fabric,General Fabric,Piece,Din Couture,5000,12500,,24,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
VELVET 2P,ZHD-0122,Formal Wear,Suit,Piece,Din Couture,2500,6250,,16,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
VELVET SHAWL OLD,ZHD-0123,Formal Wear,Shawl,Piece,Din Couture,2000,5000,,11,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
VELVET SHAWL NEW,ZHD-0124,Formal Wear,Shawl,Piece,Din Couture,9500,23750,,12,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
VELVET SHWAL OD,ZHD-0125,Unstitched Fabric,General Fabric,Piece,Din Couture,5000,12500,,1,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MEDIUM SILK SHAWLS OLD,ZHD-0126,Formal Wear,Shawl,Piece,Din Couture,5500,13750,,48,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX LAWN BOX,ZHD-0127,Unstitched Fabric,Lawn,Piece,Din Couture,5500,13750,,43,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX LAWN BOX,ZHD-0128,Unstitched Fabric,Lawn,Piece,Din Couture,6000,15000,,57,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX LAWN BOX,ZHD-0129,Unstitched Fabric,Lawn,Piece,Din Couture,7000,17500,,15,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX LAWN BOX,ZHD-0130,Unstitched Fabric,Lawn,Piece,Din Couture,8000,20000,,31,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX LAWN BOX,ZHD-0131,Unstitched Fabric,Lawn,Piece,Din Couture,5000,12500,,8,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX LAWN BOX,ZHD-0132,Unstitched Fabric,Lawn,Piece,Din Couture,10000,25000,,1,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX LAWN BOX,ZHD-0133,Unstitched Fabric,Lawn,Piece,Din Couture,5500,13750,,11,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX LAWN BOX,ZHD-0134,Unstitched Fabric,Lawn,Piece,Din Couture,6500,16250,,5,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX LAWN BOX,ZHD-0135,Unstitched Fabric,Lawn,Piece,Din Couture,4500,11250,,43,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0136,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,62,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0137,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,64,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0138,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,35,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0139,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,129,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0140,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,183,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0141,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,100,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0142,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,157,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0143,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,250,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0144,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,291,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0145,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,163,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
